streaming replay | provider=w3_tactfull_live mode=tact delta=1.5 barrier=on engine=full workers=1 infer=nominal 1.00 | 100 examples
[1/100] ecommerce_01_65e8cf8f4c7424fa062e54a3: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[26/100] ecommerce_21_69a9cf80f4d7668d5c815038: 2 calls, resp=1.77 done=3.496 eou=4 defer=1
[27/100] ecommerce_23_5f4a4da1575d605c43bef871: 2 calls, resp=1.77 done=3.326 eou=2 defer=0
[28/100] ecommerce_25_65e8cf8f4c7424fa062e54a3: 3 calls, resp=1.77 done=3.752 eou=1 defer=0
[29/100] ecommerce_25_69a9cf80f4d7668d5c815038: 2 calls, resp=1.77 done=3.496 eou=5 defer=1
[30/100] finance_01_65e8cf8f4c7424fa062e54a3: 1 calls, resp=1.77 done=3.585 eou=2 defer=0
[31/100] finance_01_69a9cf80f4d7668d5c815038: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[32/100] finance_02_6998abd731d2ec50d067d5bd: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[33/100] finance_03_5ff07b5ee7a1d23e719e421e: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[34/100] finance_03_61517db6a7589569521b2356: 1 calls, resp=1.786 done=3.601 eou=3 defer=0
[35/100] finance_04_62a885d5b6af18b3d4579e1b: 1 calls, resp=1.77 done=3.585 eou=2 defer=1
[36/100] finance_06_66f59c766e7e22e1f90d08f6: 1 calls, resp=1.689 done=1.689 eou=2 defer=1
[37/100] finance_07_5ff07b5ee7a1d23e719e421e: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[38/100] finance_07_61517db6a7589569521b2356: 1 calls, resp=2.33 done=4.145 eou=2 defer=0
[39/100] finance_08_65e8cf8f4c7424fa062e54a3: 1 calls, resp=1.77 done=3.585 eou=2 defer=1
[40/100] finance_08_69a9cf80f4d7668d5c815038: 1 calls, resp=1.77 done=3.585 eou=2 defer=0
[41/100] finance_10_66c4f3cb14cbfc4db836bd4e: 2 calls, resp=1.77 done=3.585 eou=1 defer=0
[42/100] finance_11_695bd157114f0d2317f88617: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[43/100] finance_12_65e8cf8f4c7424fa062e54a3: 1 calls, resp=1.802 done=3.617 eou=1 defer=0
[44/100] finance_12_69a9cf80f4d7668d5c815038: 1 calls, resp=1.786 done=3.601 eou=2 defer=1
[45/100] finance_14_5f4a4da1575d605c43bef871: 2 calls, resp=1.786 done=3.365 eou=1 defer=0
[46/100] finance_15_66c4f3cb14cbfc4db836bd4e: 1 calls, resp=1.786 done=3.601 eou=1 defer=0
[47/100] finance_16_62a885d5b6af18b3d4579e1b: 1 calls, resp=1.77 done=3.585 eou=2 defer=0
[48/100] finance_17_6998abd731d2ec50d067d5bd: 1 calls, resp=1.77 done=3.585 eou=2 defer=0
[49/100] finance_18_6998abd731d2ec50d067d5bd: 3 calls, resp=1.77 done=5.582 eou=1 defer=0
[50/100] finance_19_66f59c766e7e22e1f90d08f6: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[51/100] finance_20_66c4f3cb14cbfc4db836bd4e: 1 calls, resp=1.786 done=5.598 eou=1 defer=0
[52/100] finance_21_5e3c1fbece3a7b000a6fd95a: 2 calls, resp=1.77 done=3.496 eou=2 defer=1
[53/100] finance_22_5f4a4da1575d605c43bef871: 1 calls, resp=1.77 done=0.729 eou=2 defer=0
[54/100] finance_23_66f59c766e7e22e1f90d08f6: 1 calls, resp=1.786 done=3.601 eou=1 defer=0
[55/100] housing_01_62a885d5b6af18b3d4579e1b: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[56/100] housing_02_5f4a4da1575d605c43bef871: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[57/100] housing_03_5f4a4da1575d605c43bef871: 1 calls, resp=1.709 done=1.709 eou=3 defer=1
[58/100] housing_04_695bd157114f0d2317f88617: 1 calls, resp=0.0 done=0.0 eou=6 defer=1
[59/100] housing_05_5ff07b5ee7a1d23e719e421e: 1 calls, resp=1.77 done=3.585 eou=3 defer=1
[60/100] housing_05_61517db6a7589569521b2356: 1 calls, resp=1.77 done=3.585 eou=3 defer=1
[61/100] housing_06_5f4a4da1575d605c43bef871: 1 calls, resp=1.497 done=1.497 eou=2 defer=1
[62/100] housing_08_66f59c766e7e22e1f90d08f6: 1 calls, resp=1.77 done=3.348 eou=1 defer=0
[63/100] housing_09_695bd157114f0d2317f88617: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[64/100] housing_10_66f59c766e7e22e1f90d08f6: 2 calls, resp=1.77 done=3.585 eou=2 defer=1
[65/100] housing_11_62a885d5b6af18b3d4579e1b: 1 calls, resp=1.786 done=3.601 eou=1 defer=0
[66/100] housing_13_5f4a4da1575d605c43bef871: 2 calls, resp=1.77 done=3.349 eou=3 defer=2
[67/100] housing_14_5ff07b5ee7a1d23e719e421e: 1 calls, resp=1.786 done=3.601 eou=1 defer=0
[68/100] housing_14_61517db6a7589569521b2356: 1 calls, resp=0.865 done=0.865 eou=3 defer=0
[69/100] housing_15_5ff07b5ee7a1d23e719e421e: 1 calls, resp=1.77 done=3.585 eou=2 defer=0
[70/100] housing_15_61517db6a7589569521b2356: 1 calls, resp=1.77 done=0.0 eou=4 defer=1
[71/100] housing_17_65e8cf8f4c7424fa062e54a3: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[72/100] housing_17_69a9cf80f4d7668d5c815038: 1 calls, resp=1.77 done=3.585 eou=2 defer=0
[73/100] housing_18_66c4f3cb14cbfc4db836bd4e: 2 calls, resp=1.77 done=3.585 eou=1 defer=0
[74/100] housing_19_62a885d5b6af18b3d4579e1b: 1 calls, resp=2.314 done=4.129 eou=1 defer=0
[75/100] housing_20_62a885d5b6af18b3d4579e1b: 2 calls, resp=1.77 done=3.585 eou=2 defer=0
[76/100] housing_21_66c4f3cb14cbfc4db836bd4e: 2 calls, resp=1.77 done=3.585 eou=2 defer=1
[77/100] housing_22_695bd157114f0d2317f88617: 2 calls, resp=1.77 done=3.496 eou=1 defer=0
[78/100] housing_24_65e8cf8f4c7424fa062e54a3: 2 calls, resp=2.346 done=4.072 eou=1 defer=0
[79/100] housing_24_69a9cf80f4d7668d5c815038: 3 calls, resp=1.77 done=3.752 eou=4 defer=1
[80/100] housing_25_66f59c766e7e22e1f90d08f6: 3 calls, resp=1.77 done=3.752 eou=1 defer=0
[81/100] travel_01_62a885d5b6af18b3d4579e1b: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[82/100] travel_02_5e3c1fbece3a7b000a6fd95a: 1 calls, resp=1.77 done=3.585 eou=2 defer=1
[83/100] travel_03_5ff07b5ee7a1d23e719e421e: 1 calls, resp=1.786 done=3.601 eou=2 defer=0
[84/100] travel_03_61517db6a7589569521b2356: 1 calls, resp=1.786 done=3.601 eou=2 defer=0
[85/100] travel_05_6998abd731d2ec50d067d5bd: 1 calls, resp=1.786 done=3.601 eou=1 defer=0
[86/100] travel_07_5ff07b5ee7a1d23e719e421e: 1 calls, resp=1.786 done=3.601 eou=1 defer=0
[87/100] travel_07_61517db6a7589569521b2356: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[88/100] travel_08_695bd157114f0d2317f88617: 1 calls, resp=1.786 done=3.601 eou=2 defer=0
[89/100] travel_10_5f4a4da1575d605c43bef871: 1 calls, resp=1.77 done=0.0 eou=3 defer=1
[90/100] travel_11_66c4f3cb14cbfc4db836bd4e: 2 calls, resp=1.786 done=3.601 eou=1 defer=0
[91/100] travel_14_66c4f3cb14cbfc4db836bd4e: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[92/100] travel_16_66f59c766e7e22e1f90d08f6: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[93/100] travel_18_66f59c766e7e22e1f90d08f6: 3 calls, resp=1.77 done=5.791 eou=2 defer=0
[94/100] travel_19_695bd157114f0d2317f88617: 1 calls, resp=0.074 done=3.601 eou=5 defer=1
[95/100] travel_20_62a885d5b6af18b3d4579e1b: 2 calls, resp=1.77 done=4.322 eou=1 defer=0
[96/100] travel_21_65e8cf8f4c7424fa062e54a3: 2 calls, resp=1.77 done=3.585 eou=1 defer=0
[97/100] travel_21_69a9cf80f4d7668d5c815038: 3 calls, resp=1.77 done=3.752 eou=5 defer=1
[98/100] travel_23_65e8cf8f4c7424fa062e54a3: 2 calls, resp=1.77 done=3.585 eou=1 defer=0
[99/100] travel_23_69a9cf80f4d7668d5c815038: 2 calls, resp=1.77 done=3.585 eou=4 defer=1
[100/100] travel_24_695bd157114f0d2317f88617: 4 calls, resp=1.77 done=4.773 eou=4 defer=3
cache: 27 hits / 173 misses
